X	Y	REGION	PROVINCE	DEO	ROAD_NAME	BRIDGE_ID	BR_NAME	BR_LENGTH	BR_TYPE1	YR_CONST	ACTUAL_YR	BR_WIDTH	LOAD_LIMIT	HT_OVER	HT_UNDER	L_SDWALK	R_SDWALK	NUM_LANES	CROSSING	BRGY	MUN	ROAD_SEC_CLASS	ROUTE_NO	MaxBRHT	MaxPierHT
121.408857785463	13.6743365557538	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Sn Juan-Laiya Rd	B03114LZ	Icarbang Br.	15	reinforced_concrete	Year Known	1975	9.59	15			0.8	0.77	2	River	Laiya Aplaya	San Juan	Tertiary		6.1	
120.624184188773	14.0878190676955	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Ternate-Nasugbu Rd	B04378LZ	Wawa Br. 3	36	reinforced_concrete	Year Known	2005	9.62	15			1.06	1.06	2	Estuary	Wawa	Nasugbu	Secondary	407	4.4	3.35
121.045798674915	14.0945601223957	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Tanauan-Talisay-Tagaytay Rd	B00008LZ	Bignay Br.	21	reinforced_concrete	Year Known	1971	9.1	15			0.85	0.85	2	River	Aya	Talisay	Secondary	421	5.4	2.05
121.089520295144	13.9257333677617	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Banay-Banay-Mojon-Cuenca Rd	B03074LZ	Pinagtungulan Br.	41	reinforced_concrete	Year Known	2008	18.03	20			0.75	0.75	4	River	Pinagtung-ulan	Lipa	Secondary	433	12.95	
120.863310205589	13.9100357697502	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00053LZ	Calbangan Br.	91	reinforced_concrete	1945-1970	1968	10.67	15			0.99	0.98	2	River	Sinisian East	Lemery	Secondary	436	8.5	8.25
121.073348041179	13.7347840650332	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Tabangao-Lobo Rd	B03037LZ	Takad Br.	38	reinforced_concrete	Year Known	1975	8.5	20			1	1	2	River	Libjo	Batangas City	Secondary	439	9	6.3
121.399950106743	13.81160052753	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Sn Juan-Laiya Rd	B03105LZ	Mabalanoy Br.	16	reinforced_concrete	Year Known	1975	16.87	15	5		0.5	0.5	4	River	Mabalanoy	San Juan	Tertiary		5.65	
120.848827188262	13.9119565873681	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00012LZ	Sinisian Br.	37	reinforced_concrete	Post 1970	1981	20.4	15			1.1	1.1	4	River	Sinisian	Calaca	Secondary	436	6	4.9
120.614687193176	14.1437205269083	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Ternate-Nasugbu Rd	B04373LZ	Calayo Br.	15	reinforced_concrete	Year Known	2005	9.44			3.5	1.07	1.07	2	River	Calayo	Nasugbu	Secondary	407	3.9	
120.952232862197	14.0712362299198	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Talisay-Laurel-Agoncillo Rd	B03169LZ	Berinayan Br.	26	steel	Year Known	1983	9.43	15			0.7	0.7	2	River	Berinayan	Laurel	Tertiary		5.65	
